Path,Method,Tags,Summary
/alert/createAlertConfig,POST,告警中心,新增告警中心配置
/alert/deleteAlertConfigById,POST,告警中心,删除告警中心配置
/alert/selectAlertConfigPage,POST,告警中心,查询告警中心配置分页
/alert/selectAlertRecordPage,POST,告警中心,查询告警消息分页
/alert/updateAlertConfig,POST,告警中心,编辑告警中心配置
/auth/login,POST,认证,登录
/auth/logout,POST,认证,退出登录
/auth/register,POST,认证,用户注册
/auth/tenant/list,POST,认证,登录页面租户下拉框
/auth/xcxLogin,POST,认证,小程序登录
/code,POST,验证码,生成验证码
/device/add,POST,设备,创建设备
/device/batchDelete,POST,设备,批量删除设备
/device/children/list,POST,设备,获取子设备
/device/config/get,POST,设备,获取设备配置
/device/config/save,POST,设备,保存设备配置
/device/config/send,POST,设备,设备配置下发
/device/consumer,POST,设备,消费设备信息消息（实时推送设备信息）
/device/delete,POST,设备,删除设备
/device/detail,POST,设备,获取设备详情
/device/deviceLogs/list,POST,设备,设备物模型日志
/device/deviceProperty/log/list,POST,设备,获取设备属性历史数据
/device/exportData,POST,设备,下载设备模板
/device/getByPkDn,POST,设备,获取设备详情
/device/getParentDevices,POST,设备,获取网关设备
/device/getThingModel,POST,设备,获取设备物模型
/device/group/add,POST,设备,添加设备分组
/device/group/addDevices,POST,设备,添加设备到组
/device/group/clear,POST,设备,清空组下所有设备
/device/group/delete,POST,设备,删除分组
/device/group/edit,POST,设备,修改设备分组
/device/group/exportData,POST,设备,下载设备分组模板
/device/group/importData,POST,设备,导入设备分组
/device/group/removeDevices,POST,设备,将设备从组中移除
/device/groups/list,POST,设备,获取分组列表
/device/importData,POST,设备,导入设备
/device/list,POST,设备,设备列表
/device/save,POST,设备,保存设备
/device/service/invoke,POST,设备,服务调用
/device/service/property/get,POST,设备,属性获取
/device/service/property/set,POST,设备,属性设置
/device/shadow/createShadow,POST,设备,设备影子创建
/device/shadow/getShadow,GET,设备,设备影子获取
/device/simulateSend,POST,设备,模拟设备上报
/device/tag/add,POST,设备,添加标签
/device/unbind,POST,设备,设备解绑
/modbus/add,POST,modbus,新建ModbusInfo
/modbus/deleteModbus,POST,modbus,删除ModbusInfo
/modbus/edit,POST,modbus,编辑ModbusInfo
/modbus/exportData,POST,modbus,下载点位模版
/modbus/getDetail,POST,modbus,查看ModbusInfo详情
/modbus/getThingModelByProductKey,POST,modbus,查看点位物模型
/modbus/importData,POST,modbus,导入点位模型
/modbus/list,POST,modbus,ModbusInfo模版列表
/modbus/syncToProduct,POST,modbus,同步点位物模型到产品
/modbus/thingModel/save,POST,modbus,保存点位物模型
/monitor/logininfor/clean,POST,系统访问记录,清理系统访问记录
/monitor/logininfor/delete,POST,系统访问记录,批量删除登录日志
/monitor/logininfor/export,POST,系统访问记录,获取系统访问记录列表
/monitor/logininfor/list,POST,系统访问记录,获取系统访问记录列表
/monitor/logininfor/unlockByUserName,POST,系统访问记录,账户解锁
/monitor/online/kickoutByTokenValue,POST,用户在线监控,强退用户
/monitor/online/list,POST,用户在线监控,获取在线用户监控列表
/monitor/operlog/clean,POST,操作日志记录,清理操作日志记录
/monitor/operlog/delete,POST,操作日志记录,批量删除操作日志记录
/monitor/operlog/export,POST,操作日志记录,导出操作日志记录列表
/monitor/operlog/list,POST,操作日志记录,获取操作日志记录列表
/notify/channel/config/add,POST,消息通知,新增通道配置
/notify/channel/config/delById,POST,消息通知,删除通道配置
/notify/channel/config/getAll,POST,消息通知,获取通道配置列表
/notify/channel/config/getById,POST,消息通知,根据ID获取通道配置
/notify/channel/config/getList,POST,消息通知,获取通道配置分页列表
/notify/channel/config/updateById,POST,消息通知,修改通道配置
/notify/channel/getList,POST,消息通知,获取通道类型列表
/notify/channel/template/add,POST,消息通知,新增通道模板
/notify/channel/template/delById,POST,消息通知,删除通道模板
/notify/channel/template/getById,POST,消息通知,根据ID获取通道模板
/notify/channel/template/getList,POST,消息通知,获取通道模板列表
/notify/channel/template/updateById,POST,消息通知,修改通道模板
/notify/message/getList,POST,消息通知,消息列表
/openapi/device/v1/deleteDevice,POST,openapi-设备,单个设备删除
/openapi/device/v1/detail,POST,openapi-设备,查询单个设备详情
/openapi/device/v1/queryDevicePropertyStatus,POST,openapi-设备,查询指定设备的属性快照
/openapi/device/v1/registerDevice,POST,openapi-设备,单个设备注册
/openapi/device/v1/setDeviceProperty,POST,openapi-设备,设置设备的属性
/openapi/v1/getToken,POST,openapi-基础,token获取
/ota/device/detail,POST,ota升级管理,设备升级结果查询
/ota/device/info,POST,ota升级管理,设备升级批次查询
/ota/device/upgrade,POST,ota升级管理,OTA升级
/ota/package/add,POST,ota升级管理,新增升级包
/ota/package/delById,POST,ota升级管理,删除升级包
/ota/package/getList,POST,ota升级管理,升级包列表
/ota/package/upload,POST,ota升级管理,升级包上传
/ota/testStartUpgrade,POST,ota升级管理,ota升级测试
/plugin/add,POST,插件管理,添加插件
/plugin/changeState,POST,插件管理,修改插件状态
/plugin/delete,POST,插件管理,删除插件
/plugin/detail,POST,插件管理,插件详情
/plugin/edit,POST,插件管理,修改插件
/plugin/http/dynamic/register,POST,dynamic-route-controller,插件注册新的http接口
/plugin/http/dynamic/unregister,POST,dynamic-route-controller,插件注销http接口
/plugin/list,POST,插件管理,获取插件列表
/plugin/uploadJar,POST,插件管理,上传Jar包
/product/add,POST,产品,新建
/product/category/delete,POST,产品,删除品类
/product/category/edit,POST,产品,品类编辑
/product/category/getAll,POST,产品,产品品类展示
/product/category/list,POST,产品,产品品类分页展示
/product/deleteProduct,POST,产品,删除产品
/product/edit,POST,产品,编辑产品
/product/getDetail,POST,产品,查看详情
/product/getThingModelByProductKey,POST,产品,查看物模型
/product/icon/deleteIcon,POST,产品,删除图标
/product/icon/deleteIconType,POST,产品,删除图标分类
/product/icon/getAllIcon,POST,产品,图标分页展示
/product/icon/getAllIconType,POST,产品,图标分类列表
/product/icon/saveIcon,POST,产品,保存图标
/product/icon/saveIconType,POST,产品,保存图标分类
/product/list,POST,产品,列表
/product/productModel/delete,POST,产品,删除产品型号
/product/productModel/edit,POST,产品,编辑产品型号
/product/thingModel/delete,POST,产品,删除物模型
/product/thingModel/save,POST,产品,保存物模型
/product/uploadImg/{productKey},POST,产品,上传产品图片
/resource/oss/config,POST,sys-oss-config-controller,修改对象存储配置
/resource/oss/config/add,POST,sys-oss-config-controller,新增对象存储配置
/resource/oss/config/changeStatus,POST,sys-oss-config-controller,状态修改
/resource/oss/config/delete,POST,sys-oss-config-controller,删除对象存储配置
/resource/oss/config/getDetail,POST,sys-oss-config-controller,获取对象存储配置详细信息
/resource/oss/config/list,POST,sys-oss-config-controller,查询对象存储配置列表
/resource/oss/delete,POST,sys-oss-controller,删除OSS对象存储
/resource/oss/downloadById,POST,sys-oss-controller,下载OSS对象
/resource/oss/list,POST,sys-oss-controller,查询OSS对象存储列表
/resource/oss/listByIds,POST,sys-oss-controller,查询OSS对象基于id串
/resource/oss/upload,POST,sys-oss-controller,上传OSS对象存储
/rule_engine/delete,POST,规则引擎,删除规则
/rule_engine/edit,POST,规则引擎,保存规则
/rule_engine/list,POST,规则引擎,规则列表
/rule_engine/pause,POST,规则引擎,暂停规则
/rule_engine/resume,POST,规则引擎,恢复规则
/rule_engine/ruleLog/clear,POST,规则引擎,清理日志
/rule_engine/ruleLog/list,POST,规则引擎,规则日志
/rule_engine/task/delete,POST,规则引擎,删除定时任务
/rule_engine/task/pause,POST,规则引擎,停止定时任务
/rule_engine/task/renew,POST,规则引擎,更新定时任务
/rule_engine/task/resume,POST,规则引擎,恢复定时任务
/rule_engine/task/save,POST,规则引擎,保存定时任务
/rule_engine/taskLogs/clear,POST,规则引擎,清除定时任务日志
/rule_engine/taskLogs/list,POST,规则引擎,定时任务日志list
/rule_engine/tasks/list,POST,规则引擎,定时任务列表
/space/deviceLogs,POST,空间设备,设备日志
/system/app/add,POST,sys-app-controller,新增应用信息
/system/app/delete,POST,sys-app-controller,删除应用信息
/system/app/edit,POST,sys-app-controller,修改应用信息
/system/app/export,POST,sys-app-controller,导出应用信息列表
/system/app/getDetail,POST,sys-app-controller,获取应用信息详细信息
/system/app/list,POST,sys-app-controller,查询应用信息列表
/system/config/add,POST,参数配置 信息操作处理,新增参数配置
/system/config/delete,POST,参数配置 信息操作处理,删除参数配置
/system/config/edit,POST,参数配置 信息操作处理,修改参数配置
/system/config/export,POST,参数配置 信息操作处理,导出参数配置列表
/system/config/exportSysData,POST,参数配置 信息操作处理,导出系统数据
/system/config/getConfigKey,POST,参数配置 信息操作处理,根据参数键名查询参数值
/system/config/getDetail,POST,参数配置 信息操作处理,根据参数编号获取详细信息
/system/config/list,POST,参数配置 信息操作处理,获取参数配置列表
/system/config/refreshCache,POST,参数配置 信息操作处理,刷新参数缓存
/system/config/updateByKey,POST,参数配置 信息操作处理,根据参数键名修改参数配置
/system/dept/add,POST,sys-dept-controller,新增部门
/system/dept/delete,POST,sys-dept-controller,删除部门
/system/dept/edit,POST,sys-dept-controller,修改部门
/system/dept/getInfo,POST,sys-dept-controller,根据部门编号获取详细信息
/system/dept/list,POST,sys-dept-controller,获取部门列表
/system/dept/list/exclude,POST,sys-dept-controller,查询部门列表（排除节点）
/system/dict/data/add,POST,sys-dict-data-controller,新增字典类型
/system/dict/data/delete,POST,sys-dict-data-controller,删除字典类型
/system/dict/data/edit,PUT,sys-dict-data-controller,修改保存字典类型
/system/dict/data/export,POST,sys-dict-data-controller,导出字典数据列表
/system/dict/data/getDetail,POST,sys-dict-data-controller,查询字典数据详细
/system/dict/data/list,POST,sys-dict-data-controller,查询字典数据列表
/system/dict/data/type,POST,sys-dict-data-controller,根据字典类型查询字典数据信息
/system/dict/type/add,POST,sys-dict-type-controller,新增字典类型
/system/dict/type/delete,POST,sys-dict-type-controller,删除字典类型
/system/dict/type/edit,POST,sys-dict-type-controller,修改字典类型
/system/dict/type/export,POST,sys-dict-type-controller,导出字典类型列表
/system/dict/type/getById,POST,sys-dict-type-controller,查询字典类型详细
/system/dict/type/list,POST,sys-dict-type-controller,查询字典类型列表
/system/dict/type/optionselect,POST,sys-dict-type-controller,获取字典选择框列表
/system/dict/type/refreshCache,POST,sys-dict-type-controller,刷新字典缓存
/system/menu/add,POST,sys-menu-controller,新增菜单
/system/menu/delete,POST,sys-menu-controller,删除菜单
/system/menu/getRouters,POST,sys-menu-controller,获取路由信息
/system/menu/list,POST,sys-menu-controller,获取菜单列表
/system/menu/roleMenuTreeselectByRoleId,POST,sys-menu-controller,加载对应角色菜单列表树
/system/menu/treeselect,POST,sys-menu-controller,获取菜单下拉树列表
/system/notice/add,POST,sys-notice-controller,新增通知公告
/system/notice/delete,POST,sys-notice-controller,删除通知公告
/system/notice/getDetail,POST,sys-notice-controller,根据通知公告编号获取详细信息
/system/notice/list,POST,sys-notice-controller,获取通知公告列表
/system/post/add,POST,岗位信息,新增岗位
/system/post/delete,POST,岗位信息,删除岗位
/system/post/edit,POST,岗位信息,修改岗位
/system/post/export,POST,岗位信息,导出岗位列表
/system/post/getInfo,POST,岗位信息,根据岗位编号获取详细信息
/system/post/list,POST,岗位信息,获取岗位列表
/system/post/optionselect,POST,岗位信息,获取岗位选择框列表
/system/role/add,POST,sys-role-controller,新增角色
/system/role/authUser/allocatedList,POST,sys-role-controller,查询已分配用户角色列表
/system/role/authUser/cancel,POST,sys-role-controller,取消授权用户
/system/role/authUser/cancelAll,POST,sys-role-controller,批量取消授权用户
/system/role/authUser/selectAll,POST,sys-role-controller,批量选择用户授权
/system/role/authUser/unallocatedList,POST,sys-role-controller,查询未分配用户角色列表
/system/role/changeStatus,POST,sys-role-controller,状态修改
/system/role/dataScope,POST,sys-role-controller,修改保存数据权限
/system/role/delete,POST,sys-role-controller,删除角色
/system/role/deptTreeByRoleId,POST,sys-role-controller,获取对应角色部门树列表
/system/role/edit,POST,sys-role-controller,修改保存角色
/system/role/export,POST,sys-role-controller,导出角色信息列表
/system/role/getInfo,POST,sys-role-controller,根据角色编号获取详细信息
/system/role/list,POST,sys-role-controller,获取角色信息列表
/system/role/optionselect,POST,sys-role-controller,获取角色选择框列表
/system/tenant/add,POST,租户管理,新增租户
/system/tenant/delete,POST,租户管理,删除租户
/system/tenant/dynamic,POST,租户管理,动态切换租户
/system/tenant/dynamic/clear,POST,租户管理,清除动态租户
/system/tenant/edit,POST,租户管理,修改租户
/system/tenant/export,POST,租户管理,导出租户列表
/system/tenant/getDetail,POST,租户管理,获取租户详细信息
/system/tenant/list,POST,租户管理,查询租户列表
/system/tenant/package/add,POST,sys-tenant-package-controller,新增租户套餐
/system/tenant/package/changeStatus,POST,sys-tenant-package-controller,状态修改
/system/tenant/package/delete,POST,sys-tenant-package-controller,删除租户套餐
/system/tenant/package/edit,POST,sys-tenant-package-controller,修改租户套餐
/system/tenant/package/export,POST,sys-tenant-package-controller,导出租户套餐列表
/system/tenant/package/getInfo,POST,sys-tenant-package-controller,获取租户套餐详细信息
/system/tenant/package/list,POST,sys-tenant-package-controller,查询租户套餐列表
/system/tenant/package/selectList,POST,sys-tenant-package-controller,查询租户套餐下拉选列表
/system/tenant/syncTenantPackage,POST,租户管理,同步租户套餐
/system/user/add,POST,用户信息,新增用户
/system/user/authRole,POST,用户信息,用户授权角色
/system/user/authRoleByUserId,POST,用户信息,根据用户编号获取授权角色
/system/user/changeStatus,POST,用户信息,状态修改
/system/user/delete,POST,用户信息,删除用户
/system/user/deptTree,POST,用户信息,获取部门树列表
/system/user/edit,POST,用户信息,修改用户
/system/user/export,POST,用户信息,导出用户列表
/system/user/getDetail,POST,用户信息,根据用户编号获取详细信息
/system/user/getInfo,POST,用户信息,获取用户信息
/system/user/importData,POST,用户信息,导入数据
/system/user/importTemplate,POST,用户信息,获取导入模板
/system/user/list,POST,用户信息,获取用户列表
/system/user/profile/avatar,POST,sys-profile-controller,头像上传
/system/user/profile/getDetail,POST,sys-profile-controller,个人信息
/system/user/profile/updateProfile,POST,sys-profile-controller,修改用户
/system/user/profile/updatePwd,POST,sys-profile-controller,重置密码
/system/user/resetPwd,POST,用户信息,重置密码
/virtual_device/add,POST,虚拟设备,添加虚拟设备
/virtual_device/batchDelete,POST,虚拟设备,批量删除虚拟设备
/virtual_device/delete,POST,虚拟设备,删除虚拟设备
/virtual_device/getDetail,POST,虚拟设备,获取虚拟设备详情
/virtual_device/list,POST,虚拟设备,获取虚拟设备列表
/virtual_device/logs/list,POST,虚拟设备,取虚拟设备执行日志
/virtual_device/modify,POST,虚拟设备,修改虚拟设备
/virtual_device/run,POST,虚拟设备,手动执行虚拟设备
/virtual_device/saveDevices,POST,虚拟设备,保存关联设备
/virtual_device/saveScript,POST,虚拟设备,保存脚本
/virtual_device/setState,POST,虚拟设备,设置虚拟设备状态
