table_name,table_description,column_1_name,column_1_description,column_2_name,column_2_description,column_3_name,column_3_description,column_4_name,column_4_description,column_5_name,column_5_description,column_6_name,column_6_description,column_7_name,column_7_description,column_8_name,column_8_description,column_9_name,column_9_description,column_10_name,column_10_description,column_11_name,column_11_description,column_12_name,column_12_description,column_13_name,column_13_description,column_14_name,column_14_description,column_15_name,column_15_description,column_16_name,column_16_description,column_17_name,column_17_description,column_18_name,column_18_description,column_19_name,column_19_description,column_20_name,column_20_description,column_21_name,column_21_description
alert_config,此SQL文件用于创建用于存储告警配置的表 alert_config。 --     表中记录了告警配置信息，包括告警标识、创建与更新时间、启用状态、告警严重度、 --     关联消息模板、关联规则引擎、租户信息等，便于系统后续对告警的管理和处理。,id,告警配置id，主键，用于唯一标识每个告警配置,create_by,创建者，记录创建该记录的用户ID,create_dept,创建部门，记录创建该记录的部门ID,create_time,创建时间，记录记录创建的时间,update_by,更新者，记录最后一次更新该记录的用户ID,update_time,更新时间，记录最后一次更新的时间,create_at,创建时间戳，可能用于记录精确的创建时间（与create_time含义可能重叠）,description,描述，对告警配置的详细说明,enable,是否启用，标识告警配置当前的启用状态（如1：启用，0：禁用）,level,告警严重度，表示告警的严重级别（例如：低、中、高）,message_template_id,关联消息转发模板ID，用于指定转发告警信息的消息模板,name,告警名称，用于识别和展示告警配置,rule_info_id,关联规则引擎ID，用于关联执行告警判断的规则引擎,tenant_id,租户ID，用于多租户系统中标识所属租户,uid,配置所属用户，标识该告警配置具体归属于哪个用户
alert_record,此SQL文件用于创建存储告警记录的表 alert_record。 --     表中记录了告警的详细信息，包括告警记录标识、创建时间、告警触发时间、 --     告警详情、严重度等级、是否已读状态等，便于系统对告警记录进行存储、查询和历史追踪。,id,告警记录id，用于唯一标识每条告警记录,create_by,创建者，记录创建该告警记录的用户ID,create_dept,创建部门，记录创建该记录的部门ID,create_time,创建时间，记录记录生成的时间,update_by,更新者，记录最后一次更新该记录的用户ID,update_time,更新时间，记录最后一次更新该记录的时间,alert_time,告警时间，记录告警触发的具体时间（使用时间戳格式）,details,告警详情，记录告警的具体描述和相关信息,level,告警严重度（1-5），表示告警的严重等级，数值范围1至5,name,告警名称，用于描述或标识告警的类型,read_flg,是否已读，标识告警记录是否已被查看（1：已读，0：未读）,tenant_id,租户ID，用于标识记录所属的租户，支持多租户环境,uid,配置所属用户，记录该告警记录对应的用户标识
category,此SQL文件用于创建存储系统中分类信息的表 category。表中记录了分类的基本信息， --     包括分类ID、名称、以及创建与更新时间等信息，同时支持多租户环境。,id,分类id，作为主键用于唯一标识每个分类,create_by,创建者，记录创建该分类的用户ID,create_dept,创建部门，记录创建该分类的部门ID,create_time,创建时间，记录分类记录的生成时间,update_by,更新者，记录最后一次修改该分类记录的用户ID,update_time,更新时间，记录最后一次修改该分类记录的时间,create_at,分类描述，建议确认该字段是否用于描述分类（数据类型为 BIGINT 可能不适合描述性文本）,name,分类名称，记录分类的名称或标题,tenant_id,租户ID，用于标识分类所属的租户，支持多租户系统
channel,此SQL文件用于创建存储通道相关信息的表 channel。 --     表中记录了通道的基本属性，包括通道ID、创建与更新时间、通道名称、图标、标题等， --     同时支持多租户环境。该表可用于区分不同的功能模块或数据流，便于系统管理与展示。,id,通道id，主键，用于唯一标识每个通道,create_by,创建者，记录创建该通道记录的用户ID,create_dept,创建部门，记录创建该通道记录的部门ID,create_time,创建时间，记录通道记录生成的时间,update_by,更新者，记录最后一次更新该通道记录的用户ID,update_time,更新时间，记录最后一次更新该通道记录的时间,code,通道名称，用于标识或引用通道,create_at,创建时间戳，用于记录精确的创建时间（与 create_time 可能存在重复）,icon,图标，存储通道对应的图标路径或标识，便于界面展示,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统,title,标题，用于描述或展示通道的名称信息
channel_config,此SQL文件用于创建存储通道配置信息的表 channel_config。 --     表中记录了通道的相关配置，包括通道ID、参数、创建时间等信息， --     方便系统管理和动态调整通道参数。,id,通道配置id，主键，用于唯一标识每个通道配置,create_by,创建者，记录创建该通道配置的用户ID,create_dept,创建部门，记录创建该通道配置的部门ID,create_time,创建时间，记录通道配置的生成时间,update_by,更新者，记录最后一次更新该通道配置的用户ID,update_time,更新时间，记录最后一次更新该通道配置的时间,channel_id,通道id，外键，关联 channel 表中的通道，标识该配置所属的通道,create_at,创建时间戳，可能用于记录精确的创建时间（与 create_time 可能存在重复）,param,通道配置参数，存储通道的具体配置信息（JSON、XML等格式）,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统,title,通道配置名称，用于描述或标识该配置
channel_template,此SQL文件用于创建存储通道模板的表 channel_template。 --     该表用于定义通道的模板内容，允许用户根据通道配置定义不同的模板格式， --     以支持不同的业务场景。,id,通道模板id，主键，用于唯一标识每个通道模板,create_by,创建者，记录创建该通道模板的用户ID,create_dept,创建部门，记录创建该通道模板的部门ID,create_time,创建时间，记录通道模板的生成时间,update_by,更新者，记录最后一次更新该通道模板的用户ID,update_time,更新时间，记录最后一次更新该通道模板的时间,channel_config_id,通道配置id，外键，关联 channel_config 表，表示该模板基于某个通道配置,content,通道模板内容，存储模板的具体内容或格式（可扩展为 TEXT 类型以存储更长的内容）,create_at,创建时间戳，可能用于记录精确的创建时间（与 create_time 可能存在重复）,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统,title,通道模板名称，用于描述或标识该模板
device_config,此SQL文件用于创建存储设备配置信息的表 device_config。 --     该表用于记录设备的配置信息，包括设备的ID、名称、产品Key及其JSON格式的配置内容， --     以支持设备管理和远程配置。,id,设备配置id，主键，用于唯一标识每个设备的配置,create_by,创建者，记录创建该设备配置的用户ID,create_dept,创建部门，记录创建该设备配置的部门ID,create_time,创建时间，记录设备配置的生成时间,update_by,更新者，记录最后一次更新该设备配置的用户ID,update_time,更新时间，记录最后一次更新该设备配置的时间,config,设备配置JSON内容，存储设备的参数配置（建议存储 JSON 格式数据）,create_at,创建时间戳，可能用于记录精确的创建时间（与 create_time 可能存在重复）,device_id,设备id，外键，关联设备表中的设备，标识该配置属于哪个设备,device_name,设备名称，用于标识或描述设备的名称,product_key,产品key，唯一标识设备所属的产品类别,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统
device_group,此SQL文件用于创建存储设备分组信息的表 device_group。 --     该表用于管理多个设备的分组信息，支持批量管理设备。 --     设备组用于归类管理多个设备，便于批量操作和权限控制。,id,设备组id，主键，用于唯一标识每个设备组,create_by,创建者，记录创建该设备组的用户ID,create_dept,创建部门，记录创建该设备组的部门ID,create_time,创建时间，记录设备组的生成时间,update_by,更新者，记录最后一次更新该设备组的用户ID,update_time,更新时间，记录最后一次更新该设备组的时间,create_at,创建时间戳，可能用于记录精确的创建时间（与 create_time 可能存在重复）,device_qty,设备数量，记录该设备组下的设备总数,name,设备组名称，用于标识或描述设备组,remark,分组说明，存储该设备组的描述信息,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统,uid,所属用户，记录设备组归属的用户ID
device_group_mapping,此SQL文件用于创建设备与设备组之间的映射关系表 device_group_mapping。 --     该表用于维护设备和设备组之间的多对多关系，每条记录表示一个设备属于某个设备组。,id,设备组映射id，主键，用于唯一标识每条设备与设备组的关系,create_by,创建者，记录创建该映射关系的用户ID,create_dept,创建部门，记录创建该映射关系的部门ID,create_time,创建时间，记录设备组映射关系的创建时间,update_by,更新者，记录最后一次更新该映射关系的用户ID,update_time,更新时间，记录最后一次更新该映射关系的时间,device_id,设备id，外键，关联 device 表，表示该设备所属的设备组,group_id,设备组id，外键，关联 device_group 表，表示该分组包含的设备,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统
device_info,此SQL文件用于创建设备信息表 device_info。 --     该表用于存储设备的基本信息，包括设备的ID、名称、地理位置、离线，在线状态及相关的时间信息。,id,设备信息ID，主键，用于唯一标识每台设备,create_by,创建者，记录创建该设备信息的用户ID,create_dept,创建部门，记录创建该设备信息的部门ID,create_time,创建时间，记录设备信息的创建时间,update_by,更新者，记录最后一次更新该设备信息的用户ID,update_time,更新时间，记录最后一次更新该设备信息的时间,create_at,创建时间戳，可能用于记录精确的创建时间（与 create_time 可能存在重复）,device_id,设备ID，外键，关联 device 表，标识该设备的唯一标识,device_name,设备名称，存储设备的具体名称，便于识别,latitude,纬度，记录设备的地理位置信息,longitude,经度，记录设备的地理位置信息,model,设备类型，记录设备的型号或类别,offline_time,设备离线时间，记录设备最近一次离线的时间戳,online_time,设备在线时间，记录设备最近一次上线的时间戳,parent_id,父级ID，表示该设备是否属于某个父设备（如网关设备）,product_key,产品Key，唯一标识设备所属的产品类别,secret,设备密钥，设备鉴权所需的密钥信息,state,设备状态，存储设备的当前状态（如在线、离线、故障）,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统,uid,用户ID，记录设备的归属用户
device_ota_detail,此SQL文件用于创建设备OTA（固件升级）详情表 device_ota_detail。 --     该表用于存储设备的OTA升级过程中的详细信息，包括设备ID、产品Key、升级任务ID、当前步骤等。,id,设备OTA详情ID，主键，用于唯一标识每条OTA升级记录,create_by,创建者，记录创建该OTA升级记录的用户ID,create_dept,创建部门，记录创建该OTA升级记录的部门ID,create_time,创建时间，记录OTA升级记录的创建时间,update_by,更新者，记录最后一次更新该OTA升级记录的用户ID,update_time,更新时间，记录最后一次更新该OTA升级记录的时间,NULL,升级描述，存储OTA升级的描述信息,device_id,设备ID，外键，关联 device 表，表示该升级对应的设备,device_name,设备名称，存储设备的具体名称，便于识别,module,模块名称，标识设备的特定模块或组件（如Wi-Fi、主处理器等）,ota_info_id,OTA信息ID，外键，关联 OTA 任务表，表示该升级属于哪个OTA任务,product_key,产品Key，唯一标识设备所属的产品类别,step,升级进度步骤，标识设备OTA升级的当前进度（如0-未开始，1-下载中，2-升级中，3-完成等）,task_id,OTA任务ID，标识该升级任务的唯一标识,tenant_id,租户ID，用于标识记录所属的租户，支持多租户系统,version,设备固件版本号，记录设备当前或即将升级的固件版本
device_ota_info,该SQL文件用于创建设备OTA（固件升级）任务表 device_ota_info。 --     该表用于存储OTA升级任务的整体信息，如升级的目标设备数、成功/失败统计等。,id,OTA任务ID，主键，唯一标识每个OTA升级任务,create_by,创建者，记录创建该OTA升级任务的用户ID,create_dept,创建部门，记录创建该OTA升级任务的部门ID,create_time,创建时间，记录OTA任务的创建时间,update_by,更新者，记录最后一次更新该OTA升级任务的用户ID,update_time,更新时间，记录最后一次更新该OTA升级任务的时间,create_at,任务创建时间戳，记录任务的精确创建时间,NULL,任务描述，存储OTA升级任务的简要说明,fail,失败设备数，记录在此OTA任务中升级失败的设备数量,module,模块名称，标识本次OTA升级的具体模块（如Wi-Fi、主处理器等）,package_id,升级包ID，外键，指向存储的OTA固件包,product_key,产品Key，唯一标识设备所属的产品类别,success,成功设备数，记录本次OTA任务中升级成功的设备数量,tenant_id,租户ID，用于标识该OTA任务属于哪个租户，支持多租户系统,total,总设备数，记录参与此OTA任务的设备总数量,version,目标固件版本号，表示本次OTA任务要升级的版本
